Comparison,Accuracy A,Accuracy B,McNemar p-value,Holm-adjusted p-value,Significant
Yes_Man vs Zero_Shot_CoT,0.475,0.845,2.2679594150859473e-32,2.267959415085947e-31,Yes
Noise vs Yes_Man,0.83,0.475,4.6243769672195985e-31,4.161939270497639e-30,Yes
Baseline vs Yes_Man,0.82,0.475,4.7747496670847257e-29,3.8197997336677805e-28,Yes
Structured vs Yes_Man,0.792,0.475,1.1385749832235358e-24,7.970024882564751e-24,Yes
Structured vs Zero_Shot_CoT,0.792,0.845,0.001362104671584204,0.008172628029505224,Yes
Noise vs Structured,0.83,0.792,0.01480610912734844,0.0740305456367422,No
Baseline vs Structured,0.82,0.792,0.08172275229865933,0.3268910091946373,No
Baseline vs Zero_Shot_CoT,0.82,0.845,0.08897301170181363,0.3268910091946373,No
Baseline vs Noise,0.82,0.83,0.5562984612747348,0.6894084440139154,No
Noise vs Zero_Shot_CoT,0.83,0.845,0.3447042220069577,0.6894084440139154,No
